#separator:tab
#html:false
Genus_cof_DNP	back_card
Filicium	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Sapindaceae     https://www.gbif.org/species/3189976     https://en.wikipedia.org/wiki/Filicium     https://www.merriam-webster.com/dictionary/Filicium
Cyanthillium	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3148294     https://en.wikipedia.org/wiki/Cyanthillium     https://www.merriam-webster.com/dictionary/Cyanthillium
Cochlospermum	Plantae - Tracheophyta - Magnoliopsida - Malvales - Bixaceae     https://www.gbif.org/species/2874864     https://en.wikipedia.org/wiki/Cochlospermum     https://www.merriam-webster.com/dictionary/Cochlospermum
Curcuma	Plantae - Tracheophyta - Liliopsida - Zingiberales - Zingiberaceae     https://www.gbif.org/species/2757518     https://en.wikipedia.org/wiki/Curcuma     https://www.merriam-webster.com/dictionary/Curcuma
Tilingia	Plantae - Tracheophyta - Magnoliopsida - Apiales - Apiaceae     https://www.gbif.org/species/3034924     https://en.wikipedia.org/wiki/Tilingia     https://www.merriam-webster.com/dictionary/Tilingia
Uvaria	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Annonaceae     https://www.gbif.org/species/3154216     https://en.wikipedia.org/wiki/Uvaria     https://www.merriam-webster.com/dictionary/Uvaria
Theobroma	Plantae - Tracheophyta - Magnoliopsida - Malvales - Malvaceae     https://www.gbif.org/species/2984934     https://en.wikipedia.org/wiki/Theobroma     https://www.merriam-webster.com/dictionary/Theobroma
Xiphidium	Plantae - Tracheophyta - Liliopsida - Commelinales - Haemodoraceae     https://www.gbif.org/species/2765813     https://en.wikipedia.org/wiki/Xiphidium     https://www.merriam-webster.com/dictionary/Xiphidium
Dorstenia	Plantae - Tracheophyta - Magnoliopsida - Rosales - Moraceae     https://www.gbif.org/species/2984540     https://en.wikipedia.org/wiki/Dorstenia     https://www.merriam-webster.com/dictionary/Dorstenia
Mycetia	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Rubiaceae     https://www.gbif.org/species/2904656     https://en.wikipedia.org/wiki/Mycetia     https://www.merriam-webster.com/dictionary/Mycetia
Myristica	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Myristicaceae     https://www.gbif.org/species/3152840     https://en.wikipedia.org/wiki/Myristica     https://www.merriam-webster.com/dictionary/Myristica
Cephalotaxus	Plantae - Tracheophyta - Pinopsida - Pinales - Cephalotaxaceae     https://www.gbif.org/species/2685260     https://en.wikipedia.org/wiki/Cephalotaxus     https://www.merriam-webster.com/dictionary/Cephalotaxus
Allium	Plantae - Tracheophyta - Liliopsida - Asparagales - Amaryllidaceae     https://www.gbif.org/species/9624496     https://en.wikipedia.org/wiki/Allium     https://www.merriam-webster.com/dictionary/Allium
